time,ext,iaga,dBn,dBe,dBd
2024-05-10 14:51:00,60.0,T43,5.651781,0.063189,-23.594007
2024-05-10 14:52:00,60.0,T43,8.829342,3.037235,-24.590876
2024-05-10 14:53:00,60.0,T43,14.045443,-8.664175,-24.81041
2024-05-10 14:54:00,60.0,T43,13.222452,-12.388248,-24.135643
2024-05-10 14:55:00,60.0,T43,15.164068,-12.119051,-24.50016
2024-05-10 14:56:00,60.0,T43,16.048662,-17.083078,-24.517483
2024-05-10 14:57:00,60.0,T43,13.569285,-19.444872,-24.35116
2024-05-10 14:58:00,60.0,T43,1.861313,-6.431177,-23.880337
2024-05-10 14:59:00,60.0,T43,-6.213941,6.460644,-24.315935
2024-05-10 15:00:00,60.0,T43,-12.519012,19.186563,-24.95118
2024-05-10 15:01:00,60.0,T43,-13.924383,24.182434,-25.66877
2024-05-10 15:02:00,60.0,T43,-10.390127,25.660612,-26.152905
2024-05-10 15:03:00,60.0,T43,-4.138065,21.240358,-25.872564
2024-05-10 15:04:00,60.0,T43,-1.782194,21.233963,-24.713802
2024-05-10 15:05:00,60.0,T43,4.969304,15.431461,-24.211994
2024-05-10 15:06:00,60.0,T43,8.808795,12.291981,-23.429565
2024-05-10 15:07:00,60.0,T43,10.430593,15.899284,-22.191
2024-05-10 15:08:00,60.0,T43,7.963622,18.364597,-21.249464
2024-05-10 15:09:00,60.0,T43,6.986933,21.953747,-20.726307
2024-05-10 15:10:00,60.0,T43,9.309101,22.521584,-20.648804
2024-05-10 15:11:00,60.0,T43,11.674362,21.62854,-20.314114
2024-05-10 15:12:00,60.0,T43,14.137187,17.724136,-20.065199
2024-05-10 15:13:00,60.0,T43,17.010143,16.020718,-19.941404
2024-05-10 15:14:00,60.0,T43,21.053951,11.38517,-19.825472
2024-05-10 15:15:00,60.0,T43,24.103786,6.409538,-19.56144
2024-05-10 15:16:00,60.0,T43,30.384785,1.986771,-19.464916
2024-05-10 15:17:00,60.0,T43,32.874672,-3.246572,-18.958067
2024-05-10 15:18:00,60.0,T43,23.801271,1.934052,-17.35758
2024-05-10 15:19:00,60.0,T43,19.244057,14.030598,-17.75642
2024-05-10 15:20:00,60.0,T43,20.020676,17.786644,-18.420498
2024-05-10 15:21:00,60.0,T43,25.119387,13.823181,-19.041147
2024-05-10 15:22:00,60.0,T43,27.715391,9.554043,-18.610809
2024-05-10 15:23:00,60.0,T43,24.58717,10.744183,-17.964687
2024-05-10 15:24:00,60.0,T43,18.516336,13.412952,-17.649918
2024-05-10 15:25:00,60.0,T43,6.586863,21.078758,-17.584398
2024-05-10 15:26:00,60.0,T43,2.158617,28.170036,-18.908962
2024-05-10 15:27:00,60.0,T43,5.621202,29.845375,-20.529211
2024-05-10 15:28:00,60.0,T43,14.845208,14.238705,-21.675835
2024-05-10 15:29:00,60.0,T43,22.617723,1.289734,-21.610479
2024-05-10 15:30:00,60.0,T43,24.024307,-1.688835,-20.602825
2024-05-10 15:31:00,60.0,T43,26.123131,0.068474,-20.469475
2024-05-10 15:32:00,60.0,T43,29.873451,0.836334,-20.238626
2024-05-10 15:33:00,60.0,T43,22.554184,10.014885,-18.894814
2024-05-10 15:34:00,60.0,T43,13.0573,14.924755,-18.597672
2024-05-10 15:35:00,60.0,T43,8.034726,17.562733,-19.58173
2024-05-10 15:36:00,60.0,T43,9.141594,12.602169,-20.932861
2024-05-10 15:37:00,60.0,T43,12.215568,2.144558,-21.756681
2024-05-10 15:38:00,60.0,T43,1.37585,3.225502,-20.833933
2024-05-10 15:39:00,60.0,T43,-12.053602,18.584385,-21.199924
2024-05-10 15:40:00,60.0,T43,-4.131521,22.062294,-24.049898
2024-05-10 15:41:00,60.0,T43,2.028696,17.69054,-24.430859
2024-05-10 15:42:00,60.0,T43,7.237425,10.69252,-23.631401
2024-05-10 15:43:00,60.0,T43,2.680071,11.4105,-22.081345
2024-05-10 15:44:00,60.0,T43,0.77544,25.329861,-21.464216
2024-05-10 15:45:00,60.0,T43,3.511782,33.459332,-21.233229
2024-05-10 15:46:00,60.0,T43,11.606524,26.3358,-21.204395
2024-05-10 15:47:00,60.0,T43,14.301807,15.807621,-19.745001
2024-05-10 15:48:00,60.0,T43,14.00779,7.921036,-18.667597
2024-05-10 15:49:00,60.0,T43,6.554127,9.634804,-17.546082
