year, month, day, hour, minute, second, I total up North [MA], I total down North [MA], I day up North [MA], I day down North [MA], I night up North [MA], I night down North [MA], I total up South [MA], I total down South [MA], I day up South [MA], I day down South [MA], I night up South [MA], I night down South [MA]
2024 05 11 02 46 00    26.15  -25.72   13.93  -13.23   12.22  -12.49   21.04  -20.92   11.98  -12.46    9.06   -8.46
2024 05 11 02 48 00    25.73  -25.55   13.45  -12.94   12.28  -12.61   21.76  -21.71   11.99  -12.61    9.77   -9.10
2024 05 11 02 50 00    24.40  -24.05   13.43  -13.28   10.98  -10.77   21.21  -21.08   11.41  -12.43    9.80   -8.65
2024 05 11 02 52 00    23.96  -23.76   13.20  -13.27   10.76  -10.49   20.76  -20.59   11.30  -12.27    9.46   -8.33
2024 05 11 02 54 00    25.70  -25.57   13.88  -14.24   11.82  -11.33   21.39  -21.07   12.41  -13.08    8.98   -7.99
2024 05 11 02 56 00    25.93  -25.62   13.94  -14.51   11.99  -11.11   21.51  -21.00   12.36  -12.79    9.16   -8.21
2024 05 11 02 58 00    28.86  -28.53   16.28  -16.78   12.58  -11.75   21.31  -20.75   11.40  -11.73    9.91   -9.02
2024 05 11 03 00 00    29.95  -29.61   17.21  -17.94   12.75  -11.66   21.23  -20.72   11.75  -12.27    9.49   -8.45
2024 05 11 03 02 00    27.97  -27.56   15.44  -16.21   12.52  -11.35   22.87  -21.89   13.17  -13.39    9.70   -8.50
2024 05 11 03 04 00    28.42  -27.56   15.90  -16.63   12.52  -10.93   23.20  -22.15   13.29  -13.49    9.91   -8.66
2024 05 11 03 06 00    29.28  -28.68   15.13  -16.44   14.14  -12.24   23.05  -22.02   12.82  -13.11   10.23   -8.91
2024 05 11 03 08 00    26.24  -25.86   14.38  -15.92   11.87   -9.94   23.02  -22.37   12.81  -13.47   10.21   -8.89
2024 05 11 03 10 00    26.51  -25.67   14.74  -15.70   11.77   -9.97   22.44  -21.78   12.58  -13.44    9.86   -8.34
2024 05 11 03 12 00    25.62  -24.85   13.38  -14.50   12.24  -10.35   18.27  -17.82    9.52  -10.18    8.76   -7.64
2024 05 11 03 14 00    24.66  -24.04   12.75  -13.97   11.91  -10.08   17.89  -17.80    9.26  -10.09    8.63   -7.71
2024 05 11 03 16 00    21.42  -21.06   11.63  -12.57    9.79   -8.49   17.50  -16.95    9.56  -10.03    7.94   -6.92
2024 05 11 03 18 00    21.97  -21.66   11.33  -12.54   10.64   -9.11   16.56  -16.41    9.04   -9.66    7.52   -6.75
2024 05 11 03 20 00    20.06  -19.16   10.83  -11.94    9.23   -7.22   15.15  -14.59    7.29   -8.05    7.86   -6.54
2024 05 11 03 22 00    19.58  -18.92   10.80  -11.96    8.78   -6.97   14.37  -14.24    7.06   -8.10    7.31   -6.14
2024 05 11 03 24 00    18.61  -17.98   10.21  -11.57    8.41   -6.40   13.35  -13.31    6.68   -7.82    6.67   -5.49
